Name,Article,Code,Orientation,Power,Hatch,Speed,Layer_thickness,Annealed,Annealing_T,HIP,Machined,SB,EDM,LSP,SP,SMAT,Polished,m1,m2,q1,q2,RMSE
1,DuQian2020,0,90,120,0.07,1200,30,1,600,0,0,0,0,0,0,0,1,-120.2306036,-26.00822975,908.8243723,364.9789328,0.682
2,DuQian2020,1,90,120,0.1,1000,45,1,600,0,0,0,0,0,0,0,1,-92.24038036,-10.74105128,710.8980155,191.602951,0.605820029
3,DuQian2020,2,90,120,0.13,800,60,1,600,0,0,0,0,0,0,0,1,-98.3056093,-21.48743995,687.801719,243.7114148,0.342634293
4,DuQian2020,3,90,160,0.13,1000,30,1,600,0,0,0,0,0,0,0,1,-68.99105913,-28.53385628,631.7847,381.6500861,0.641456749
5,DuQian2020,4,90,160,0.07,800,45,1,600,0,0,0,0,0,0,0,1,-110.0170397,-0.0001,839.3928408,161.0008413,0.935280426
6,DuQian2020,5,90,160,0.1,1200,60,1,600,0,0,0,0,0,0,0,1,-115,-0.093554839,835.2077866,116.8323234,0.647300085
7,DuQian2020,6,90,200,0.1,800,30,1,600,0,0,0,0,0,0,0,1,-41.25871449,-0.045216129,560.6425704,204.3908507,0.724742215
8,DuQian2020,7,90,200,0.13,1200,45,1,600,0,0,0,0,0,0,0,1,-45,-2,427.4856716,148.8798368,1.023918045
9,DuQian2020,8,90,200,0.07,1000,60,1,600,0,0,0,0,0,0,0,1,-128.5900189,-1.251055973,879.8221094,141.2561246,0.300101743
10,DuQian2020,9,90,160,0.07,1000,30,1,600,0,0,0,0,0,0,0,1,-32.52892023,-0.025880645,519.7396077,233.2281356,0.827128173
SLM-1a,Gunther2017,10,90,175,0.12,710,30,1,800,0,1,0,0,0,0,0,0,-280,-0.054883871,1829.463628,400.3320555,0.217352122
SLM-1b,Gunther2017,11,90,175,0.12,710,30,1,800,0,1,0,0,0,0,0,1,-48.9227085,-0.067774194,694.7543061,236.635527,0.908091202
SLM-2,Gunther2017,12,90,175,0.12,710,30,1,800,1,1,0,0,0,0,0,1,-62.85182377,-0.1,963.3244455,397.901047,0.867853158
noName,Hu2020,13,90,280,0.14,1200,30,1,500,0,0,0,0,0,0,0,1,-49.55828351,-0.1,611.0203461,274.7040182,0.893967657
Edwards & Ramulu As Built,Li2016,14,0,200,0.18,200,50,0,20,0,0,0,0,0,0,0,0,-216.4981861,-44.01126099,1241.684634,320.1389184,0.254277312
Edwards & Ramulu Machined and Polished,Li2016,15,0,200,0.18,200,50,0,20,0,1,0,0,0,0,0,1,-235.7707999,-0.1,1367.694754,75.5482845,0.331003196
Xu et al. Annealed,Li2016,16,90,375,0.12,1029,60,1,640,0,1,0,0,0,0,0,0,-288.5120452,-0.1,1632.852148,320.4550424,0.055385204
Xu et al. AB 0°,Li2016,17,0,375,0.12,1029,60,0,20,0,1,0,0,0,0,0,0,-91.41763992,-0.1,930.947564,320.6683038,0.283100639
Xu et al. AB 90°,Li2016,18,90,375,0.12,1029,60,0,20,0,1,0,0,0,0,0,0,-131.9027765,-0.1,1173.55618,320.6471101,0.121119283
Hooerweder et al.,Li2016,19,90,250,0.06,1600,30,1,650,0,0,0,1,0,0,0,0,-155.4389521,-0.029103226,948.4366578,107.2012753,0.470087335
