Orientation;Power;Hatch;Speed;Layer_thickness;Annealed;Annealing_T;HIP;Machined;SB;EDM;LSP;SP;SMAT;Polished;m1;m2;q1;q2
90;120;0.07;1200;30;1;600;0;0;0;0;0;0;0;1;-1.202.306.036;-2.600.822.975;9.088.243.723;3.649.789.328
90;120;0.1;1000;45;1;600;0;0;0;0;0;0;0;1;-9.224.038.036;-1.074.105.128;7.108.980.155;191.602.951
90;120;0.13;800;60;1;600;0;0;0;0;0;0;0;1;-983.056.093;-2.148.743.995;687.801.719;2.437.114.148
90;160;0.13;1000;30;1;600;0;0;0;0;0;0;0;1;-6.899.105.913;-2.853.385.628;6.317.847;3.816.500.861
90;160;0.07;800;45;1;600;0;0;0;0;0;0;0;1;-1.100.170.397;-0.0001;8.393.928.408;1.610.008.413
90;160;0.1;1200;60;1;600;0;0;0;0;0;0;0;1;-115;-0.093554839;8.352.077.866;1.168.323.234
90;200;0.1;800;30;1;600;0;0;0;0;0;0;0;1;-4.125.871.449;-0.045216129;5.606.425.704;2.043.908.507
90;200;0.13;1200;45;1;600;0;0;0;0;0;0;0;1;-45;-2;4.274.856.716;1.488.798.368
90;200;0.07;1000;60;1;600;0;0;0;0;0;0;0;1;-1.285.900.189;-1.251.055.973;8.798.221.094;1.412.561.246
90;160;0.07;1000;30;1;600;0;0;0;0;0;0;0;1;-3.252.892.023;-0.025880645;5.197.396.077;2.332.281.356
90;175;0.12;710;30;1;800;0;1;0;0;0;0;0;0;-280;-0.054883871;1.829.463.628;4.003.320.555
90;175;0.12;710;30;1;800;0;1;0;0;0;0;0;1;-489.227.085;-0.067774194;6.947.543.061;236.635.527
90;175;0.12;710;30;1;800;1;1;0;0;0;0;0;1;-6.285.182.377;-0.1;9.633.244.455;397.901.047
90;280;0.14;1200;30;1;500;0;0;0;0;0;0;0;1;-4.955.828.351;-0.1;6.110.203.461;2.747.040.182
0;200;0.18;200;50;0;20;0;0;0;0;0;0;0;0;-2.164.981.861;-4.401.126.099;1.241.684.634;3.201.389.184
0;200;0.18;200;50;0;20;0;1;0;0;0;0;0;1;-2.357.707.999;-0.1;1.367.694.754;755.482.845
90;375;0.12;1029;60;1;640;0;1;0;0;0;0;0;0;-2.885.120.452;-0.1;1.632.852.148;3.204.550.424
0;375;0.12;1029;60;0;20;0;1;0;0;0;0;0;0;-9.141.763.992;-0.1;930.947.564;3.206.683.038
90;375;0.12;1029;60;0;20;0;1;0;0;0;0;0;0;-1.319.027.765;-0.1;117.355.618;3.206.471.101
90;250;0.06;1600;30;1;650;0;0;0;1;0;0;0;0;-1.554.389.521;-0.029103226;9.484.366.578;1.072.012.753
90;200;0.25;1250;40;0;20;1;1;0;0;0;0;0;0;-1.452.121.303;-0.1;1.375.211.432;5.016.020.237
90;200;0.25;1250;40;0;20;1;0;0;0;0;0;0;0;-3.173.753.439;-0.1;1.832.524.063;351.466.805
90;400;0.16;1000;50;1;700;0;0;0;0;0;0;0;0;-2.679.326.161;-0.1;169.748.634;3.315.100.112
90;400;0.16;1000;50;0;20;1;0;0;0;0;0;0;0;-1.565.951.755;-0.1;1.178.050.506;3.635.204.825
90;400;0.16;1000;50;1;700;0;1;0;0;0;0;0;0;-265.193.742;-0.1;1.802.160.876;3.645.423.057
90;285;0.14;1200;30;1;700;0;1;0;0;0;0;0;0;-600;-0.1;3900;600.55
45;285;0.14;1200;30;1;700;0;1;0;0;0;0;0;0;-1.696.043.797;-0.1;1.487.476.574;6.005.232.628
90;285;0.14;1200;30;0;20;1;1;0;0;0;0;0;0;-7.319.807.827;-0.1;1.076.674.217;7.234.831.742
45;285;0.14;1200;30;0;20;1;1;0;0;0;0;0;0;-7.136.077.934;-0.1;104.115.332;6.974.822.724
90;200;0.1;1000;50;0;20;0;1;0;0;0;0;0;0;-130.429.122;-0.1;9.341.147.899;3.024.846.424
90;200;0.1;1000;50;0;20;1;1;0;0;0;0;0;0;-7.768.703.985;-0.1;9.078.463.522;4.026.511.335
90;200;0.08;1250;30;1;820;0;0;0;0;0;0;0;0;-1.697.807.766;-0.1;1.189.261.388;230.565
0;190;0.065;1000;30;1;955;0;0;0;0;0;0;0;1;-7.234.365.765;-3.543.231.889;7.178.728.694;3.109.562.641
0;190;0.065;1000;30;0;20;0;0;0;0;1;0;0;1;-8.615.581.551;-8.818.068.193;7.827.816.377;2.955.538.296
90;360;0.1;1200;60;1;710;1;0;0;0;0;0;0;1;-4.066.308.417;-0.1;831.238.365;510.79
90;360;0.1;1200;60;1;710;1;0;0;0;0;0;0;1;-2.242.081.069;-0.1;1.655.882.156;490.52
90;175;0.12;710;30;1;800;0;1;0;0;0;0;0;0;-3.179.938.238;-0.1;1.978.567.884;325.52
